id,entityName,registerDateMinistry,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,,,
1,Polska Kompania Doradcza Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Ministerstwo Sprawiedliwości,Nie,,,,,,,,,,,,,,,,,,,,1,,,,,,
2,Pleon Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Majchrzak Krzysztof,b.d.,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Tak,Krzysztof Majchrzak,Sekcja Ratująca Międzyszkolny Ośrodek Sportowy nr 5 w Instytucie Reumatologii,7/2/2011,26/4/2011,Działalność na rzecz ratowania Międzyszkolnego Ośrodka Sportowego nr 5 w Instytucje Reumatologii w Warszawie,,,,,,,,,,1,,,,,,,,1,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Łukasz Mężyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2009,15/2/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska,obrona narodowa",,,,1,1,,1,,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Mariusz Odziemczyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2009,15/2/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska,obrona narodowa",,,,1,1,,1,,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2009,15/2/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska,obrona narodowa",,,,1,1,,1,,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Arkadiusz Sekściński,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2009,15/2/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska,obrona narodowa",,,,1,1,,1,,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",5/2/2010,2/5/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",5/2/2010,2/5/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Łukasz Mężyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",5/2/2010,2/5/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Mariusz Odziemczyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",5/2/2010,2/5/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",5/2/2010,2/5/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Arkadiusz Sekściński,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",5/2/2010,2/5/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",26/4/2010,21/7/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",26/4/2010,21/7/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Łukasz Mężyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",26/4/2010,21/7/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Mariusz Odziemczyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",26/4/2010,21/7/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",26/4/2010,21/7/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Arkadiusz Sekściński,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",26/4/2010,21/7/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska, obrona narodowa, prawo bankowe, ustawa o udostępnianiu informacji gospodarczych",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",19/7/2010,5/10/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",19/7/2010,5/10/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Mariusz Odziemczyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",19/7/2010,5/10/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Arkadiusz Sekściński,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",19/7/2010,5/10/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Aleksandra Heflich, Medicover Polska Sp. z o.o.; Izby Gospodarczej Ciepłownictwo Polskie; Związku Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma,3/9/2010,26/11/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/9/2010,26/11/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/9/2010,26/11/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Łukasz Mężyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/9/2010,26/11/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Mariusz Odziemczyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/9/2010,26/11/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",19/10/2010,26/11/2010,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Leszek Zalewski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/9/2010,26/11/2010,"Prawo energetyczne, ochrona zdrowia, ochrona środowiska,obrona narodowa",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Aleksandra Heflich, Medicover Polska Sp. z o.o.; Izby Gospodarczej Ciepłownictwo Polskie; Związku Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma,18/11/2010,9/2/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2010,9/2/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2010,9/2/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Łukasz Mężyk,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2010,9/2/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2010,9/2/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Leszek Zalewski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",18/11/2010,9/2/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/2/2011,25/4/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/2/2011,25/4/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/2/2011,25/4/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Leszek Zalewski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",1/2/2011,25/4/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",22/4/2011,13/7/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",22/4/2011,13/7/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",20/4/2011,13/7/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Leszek Zalewski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych Infarma",20/4/2011,13/7/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",8/7/2011,5/10/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",8/7/2011,5/10/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",8/7/2011,5/10/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Leszek Zalewski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",8/7/2011,5/10/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",3/10/2011,31/12/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",3/10/2011,31/12/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",3/10/2011,31/12/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Leszek Zalewski,"Medicover Polska sp. z o.o., Izba Gospodarcza Ciepłownictwo Polskie",3/10/2011,31/12/2011,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Piotr Małecki,Medicover Polska Sp. z o.o.; Izby Gospodarczej Ciepłownictwo Polskie,4/1/2012,31/12/2012,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Maciej Sankowski,Medicover Polska Sp. z o.o.; Izba Gospodarcza Ciepłownictwo Polskie,4/1/2012,31/12/2012,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Agnieszka Kramza,"Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Hurtowni Farmaceutycznych",2/1/2013,31/12/2013,"Prawo energetyczne, ochrona środowiska, obrona narodowa, ochrona zdrowia",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Anna Kadzikiewicz,"Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA",2015-01-22,31/12/2015,"Prawo energetyczne, ochrona środowiska, obrona narodowa, ochrona zdrowia",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Joanna Kajak,"Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA",2015-01-22,31/12/2015,"Prawo energetyczne, ochrona środowiska, obrona narodowa, ochrona zdrowia",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Paweł Sowa,"Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA",22/1/2015,31/12/2015,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Adrianna Tomasik,"Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA",22/1/2015,31/12/2015,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
132,Viewpoint Group Sp. z o.o. i Wspólnicy Spółka Komandytowa,2008-12-16,Nie,Nie dotyczy,Ministerstwo Finansów,Tak,Iga Wilczyńska,"Izba Gospodarcza Ciepłownictwo Polskie, Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA",22/1/2015,31/12/2015,"Prawo energetyczne, obrona narodowa, ochrona zdrowia, ochrona środowiska",,,,1,1,,1,1,,1,,,,,,,,,,,
